Nume	Prenume	Instanta
FLOREA	NAPOLEON	JudecatoriaORASTIE
TUDOSIE	MARINA	JudecatoriaORASTIE
ANDREI	VICTORIA	TribunalulSIBIU
BARBU	DANIELA MARIOARA	TribunalulSIBIU
BERGHEZAN	GABRIELA LILIANA	TribunalulSIBIU
BIBU	MARIANA	TribunalulSIBIU
BOCA 	ELENA	TribunalulSIBIU
BREBENEL	ALEXANDRA	TribunalulSIBIU
BUTIUC	CONSTANTIN	TribunalulSIBIU
COMANITA	GHEORGHE	TribunalulSIBIU
CZIKA	DANIELA MARIA	TribunalulSIBIU
DEJUGAN	MARIA	TribunalulSIBIU
DUMITRACHE	VIORICA CLAUDIA	TribunalulSIBIU
FLOREA	ELENA	TribunalulSIBIU
GEORGICA	CARMEN ELENA	TribunalulSIBIU
HAGEANU	CRISTINA CODRUTA	TribunalulSIBIU
LAPADAT	DANIELA RODICA	TribunalulSIBIU
LUCA	DANIELA TEOFILA	TribunalulSIBIU
MARCU	TATIANA	TribunalulSIBIU
OPRIS	MARIA	TribunalulSIBIU
POIANA	ELENA CARMEN	TribunalulSIBIU
POPA	CARMEN MARILENA	TribunalulSIBIU
POPA	LAURA ROXANA	TribunalulSIBIU
RADU	SIMONA	TribunalulSIBIU
RUSU	MARCEL IOAN	TribunalulSIBIU
SAVU	RALUCA ANAMARIA	TribunalulSIBIU
SEBEŞAN	ANDREI VLĂDUŢ	TribunalulSIBIU
SOMANDRA	DUMITRU	TribunalulSIBIU
STANESE	ANDREIA LAURA	TribunalulSIBIU
TICHINDELEAN	MARIOARA	TribunalulSIBIU
TRIFAN	DAN RADU	TribunalulSIBIU
VERZA	ILIE	TribunalulSIBIU
BÂRSAN	CARMEN ELENA	JudecatoriaSIBIU
CHEŢAN	COSMINA MITRUŢA	JudecatoriaSIBIU
DINCĂ	ADELA CORNELIA	JudecatoriaSIBIU
DINCĂ	DIANA	JudecatoriaSIBIU
DRAGOE	STEFANIA	JudecatoriaSIBIU
DRAŞOVEANU	CORINA IONELA	JudecatoriaSIBIU
FĂLĂMAS	NICOLAE	JudecatoriaSIBIU
FILIP	LARISA ANDREEA	JudecatoriaSIBIU
FILIP	VIRGILIU CEZAR	JudecatoriaSIBIU
GREISSING	DIANA CRISTINA	JudecatoriaSIBIU
HANCĂS	MIRELA	JudecatoriaSIBIU
JUMUGĂ	VALENTIN	JudecatoriaSIBIU
LAZĂR	BIANCA MARIA	JudecatoriaSIBIU
LUCUŢA	ADINA MIHAELA	JudecatoriaSIBIU
MORAR - OPRISIU	MARIA	JudecatoriaSIBIU
OLAN	LAURA ELENA	JudecatoriaSIBIU
PALTINEANU	MARIA	JudecatoriaSIBIU
PIROS	FLORICA TANTA	JudecatoriaSIBIU
RADU	SIMONA	JudecatoriaSIBIU
SANTAI	ANDA	JudecatoriaSIBIU
STAICU	LILIANA MARIA	JudecatoriaSIBIU
TURCU	MONICA MIOARA	JudecatoriaSIBIU
VADEANU	FLORIN	JudecatoriaSIBIU
ANCHIDIN	ADRIANA	JudecatoriaMEDIAS
ANCHIDIN	LIVIU	JudecatoriaMEDIAS
BAIESIU	MIHAELA CRISTINA	JudecatoriaMEDIAS
HANES	ONISIE	JudecatoriaMEDIAS
