Nume	Prenume	Instanta
AGOP	MIRCEA	JudecatoriaTARGULAPUS
GRAMA	ELENA	JudecatoriaTARGULAPUS
TULICI	DANIEL MIHAI	JudecatoriaTARGULAPUS
BURNAR	LIVIA	JudecatoriaDRAGOMIRESTI
GAVRIŞ TODINCA	VERONICA ELISABETA	JudecatoriaDRAGOMIRESTI
CĂTUNA	DANIELA	TribunalulSALAJ
CHIS	NICOLAE CLAUDIU	TribunalulSALAJ
DĂRĂBAN	PATRITIU	TribunalulSALAJ
DRĂGAN	GAVRIL	TribunalulSALAJ
HODIŞ	IOANA - DIANA	TribunalulSALAJ
IONESCU	DORINA - DELIA	TribunalulSALAJ
KENDE	MONICA	TribunalulSALAJ
LAZOC	MIRELA TEODORA	TribunalulSALAJ
MOLDOVAN	SORIN	TribunalulSALAJ
POP	ADRIANA - RAMONA	TribunalulSALAJ
POP	RADA MAGDALENA	TribunalulSALAJ
TOMSA	CLAUDIA	TribunalulSALAJ
ŢĂRAN	DARIA BRÂNDUȘA	TribunalulSALAJ
BADEA	CRISTINA MARIA	JudecatoriaZALAU
CHIŞ	DAN ADRIAN	JudecatoriaZALAU
COTÎRLĂ	MIRELA - MIHAELA	JudecatoriaZALAU
LAR	MARIA DANIELA	JudecatoriaZALAU
MARIAN	DORINA ELENA	JudecatoriaZALAU
MOGA	ANAMARIA MIHAELA	JudecatoriaZALAU
NEAGOŞ	SORINA VIORICA	JudecatoriaZALAU
PODAR	CLAUDIU - RARES	JudecatoriaZALAU
POP	ANGHEL MARIAN	JudecatoriaZALAU
PUIU	DANA MARIA	JudecatoriaZALAU
ŞTEF	MARIA CRISTINA	JudecatoriaZALAU
TRIF	CLAUDIA ARABELA	JudecatoriaZALAU
CRISTE	ANCA ADRIANA	JudecatoriaSIMLEULSILVANIEI
MERFU – ARON	DANIELA	JudecatoriaSIMLEULSILVANIEI
SANTAVAN	LILIANA	JudecatoriaSIMLEULSILVANIEI
ARDELEAN	FLAVIUS FLORIN	JudecatoriaJIBOU
MATYUS	GABRIELA ELVIRA	JudecatoriaJIBOU
MOLDOVEANU	COSTIN	JudecatoriaJIBOU
ANGHEL	RĂZVAN	CurteadeApelCONSTANTA
BADULESCU	MARIANA	CurteadeApelCONSTANTA
BONDOC	IRINA	CurteadeApelCONSTANTA
COADĂ	CIPRIAN	CurteadeApelCONSTANTA
COSTEA	MONICA MIOARA	CurteadeApelCONSTANTA
CUCULIS	NASTASIA	CurteadeApelCONSTANTA
DAVIDENCU - ŞERBAN	IULIANA MIHAELA	CurteadeApelCONSTANTA
DELIORGA	CRISTIAN	CurteadeApelCONSTANTA
EPURE	MARIUS - CRISTIAN	CurteadeApelCONSTANTA
FRANGU	ZOITA	CurteadeApelCONSTANTA
GANEA	MIHAELA VIRGINIA	CurteadeApelCONSTANTA
GHEORMA	ELENA CARINA	CurteadeApelCONSTANTA
GHERASIM	ADRIANA ELENA	CurteadeApelCONSTANTA
GRIGORE	ECATERINA	CurteadeApelCONSTANTA
IANCA	ANDREEA	CurteadeApelCONSTANTA
ISPAS	ADRIANA	CurteadeApelCONSTANTA
JIGĂU	CĂTĂLIN	CurteadeApelCONSTANTA
LEFTER	GABRIEL SANDU	CurteadeApelCONSTANTA
LUNGU	VIORICA	CurteadeApelCONSTANTA
MARCU	ELENI CRISTINA	CurteadeApelCONSTANTA
MITEA	DAMIAN MARIUS	CurteadeApelCONSTANTA
MOGA	REVI PAULICA	CurteadeApelCONSTANTA
NĂSTASE	DAN IULIAN	CurteadeApelCONSTANTA
PETROVICI	MARINELA -DANIELA	CurteadeApelCONSTANTA
PINTEA	ADRIANA MIHAELA	CurteadeApelCONSTANTA
POPOACĂ	MIHAELA	CurteadeApelCONSTANTA
POPPA 	RAMONA ELENA	CurteadeApelCONSTANTA
PULBERE	GEORGIANA	CurteadeApelCONSTANTA
RĂPEANU	CLAUDIU IULIAN	CurteadeApelCONSTANTA
SÎRBU	KAMELIA	CurteadeApelCONSTANTA
STANCIU	NICOLAE	CurteadeApelCONSTANTA
TASE	VANGHELITA	CurteadeApelCONSTANTA
UZUNĂ	MARIA	CurteadeApelCONSTANTA
ZALMAN	JELENA- SORINA	CurteadeApelCONSTANTA
APZAIT	NERMIN	TribunalulCONSTANTA
ARDELEANU	ANTOANETA	TribunalulCONSTANTA
ARTENE	CORINA-SUZANA	TribunalulCONSTANTA
BACU	ROXANA NICOLETA	TribunalulCONSTANTA
BELECCIU	CRISTINA	TribunalulCONSTANTA
BOBOC	VALENTINA	TribunalulCONSTANTA
BOURCEANU	LEONARD IUSTIN	TribunalulCONSTANTA
CALIN	DANIELA	TribunalulCONSTANTA
CARAPCEA	MIRELA	TribunalulCONSTANTA
CĂRBUNE - COSAC	VASILE	TribunalulCONSTANTA
CĂRBUNE- COSAC	IULIA GAROFITA	TribunalulCONSTANTA
CASIAN	IULIA	TribunalulCONSTANTA
CIUCĂ	CAMELIA ELENA	TribunalulCONSTANTA
COADĂ	AURORA	TribunalulCONSTANTA
COMSA	DUMITRU-RADU	TribunalulCONSTANTA
CONSTANTINESCU	CRISTINA	TribunalulCONSTANTA
CRIHANĂ	ELISABETA	TribunalulCONSTANTA
DAN	LUMINITA-  MARINELA	TribunalulCONSTANTA
DAMIAN	OANA	TribunalulCONSTANTA
DUMITRA	CORNELIA	TribunalulCONSTANTA
DUTĂ	CRISTINA RAMONA	TribunalulCONSTANTA
ENACHE	CHIRATICA	TribunalulCONSTANTA
FAUR	IONELA – DIANA	TribunalulCONSTANTA
GANERA	EMILIA	TribunalulCONSTANTA
GHEORGHE 	VIOREL TEODOR	TribunalulCONSTANTA
GHERNAJA	GETA - CRISTINA	TribunalulCONSTANTA
IVAN	FELICIA MIRELA	TribunalulCONSTANTA
JIANU	CORINA-EUGENIA	TribunalulCONSTANTA
LEPADATU	ADRIANA	TribunalulCONSTANTA
LICA	LUCIAN	TribunalulCONSTANTA
MARCU	FELICIA	TribunalulCONSTANTA
MARIS	BEATRICE	TribunalulCONSTANTA
MIRICĂ	MELENTINA-NICOLETA	TribunalulCONSTANTA
MITAN	MARINELA	TribunalulCONSTANTA
MOCANU	MIHAELA CRISTINA	TribunalulCONSTANTA
MOTOC	LOREDANA VIOLETA	TribunalulCONSTANTA
NEACŞU	CĂTĂLINA	TribunalulCONSTANTA
NEAGU	ADRIAN	TribunalulCONSTANTA
NISTOR	AUGUSTINA LIVIA	TribunalulCONSTANTA
NIŢĂ	ANCA JEANINA	TribunalulCONSTANTA
OPARIUC - DAN	IULIA - LAURA	TribunalulCONSTANTA
OPREA	ADRIAN	TribunalulCONSTANTA
PASCU	SANDA IOANA	TribunalulCONSTANTA
POPESCU	CRINA MIHAELA	TribunalulCONSTANTA
RADU	IULIANA	TribunalulCONSTANTA
SPÎNOCHE	RAMONA IZABELA	TribunalulCONSTANTA
STAICU	ANIELA ADRIANA	TribunalulCONSTANTA
STĂNESCU SAS	MIHAIL	TribunalulCONSTANTA
SULIMAN	ELENA LAURA	TribunalulCONSTANTA
STOIANOGLO	ANDREEA BIANCA	TribunalulCONSTANTA
SUCIU	IULIA-CEZARA	TribunalulCONSTANTA
TĂNASE	MONICA LAURA	TribunalulCONSTANTA
TRIFANOV	CAMELIA	TribunalulCONSTANTA
TUDOR	VERONICA	TribunalulCONSTANTA
TUDORAN	IULIANA	TribunalulCONSTANTA
VLASCEANU	MIHAELA OLIMPIA	TribunalulCONSTANTA
AILENA	ANCUŢA	JudecatoriaCONSTANTA
AMZU	DORINA – EUGENIA	JudecatoriaCONSTANTA
ARHIP	ALEXANDRU - BOGDAN	JudecatoriaCONSTANTA
ARSENI	ALINA MARIA	JudecatoriaCONSTANTA
BARAC	CONSTANŢA IULIA	JudecatoriaCONSTANTA
BECHIR	MERAL	JudecatoriaCONSTANTA
BODEAN	CLAUDIA	JudecatoriaCONSTANTA
BOJIN	CLAUDIA IONELA	JudecatoriaCONSTANTA
BREŞUG	DENISSA - TINONIA	JudecatoriaCONSTANTA
BURLACU	ROBERT CRISTIAN	JudecatoriaCONSTANTA
BURTESCU 	ALEXANDRU IONUŢ	JudecatoriaCONSTANTA
CIRCIUMARU	MIHAELA-LAVINIA	JudecatoriaCONSTANTA
DAVIDENCU ŞERBAN	RĂZVAN VLADIMIR	JudecatoriaCONSTANTA
DARI	BOGDAN ALEXANDRU	JudecatoriaCONSTANTA
DOICESCU	ROXANA ELENA	JudecatoriaCONSTANTA
DUMA	ROXANA MIHAELA	JudecatoriaCONSTANTA
DUMITRU	DOINA	JudecatoriaCONSTANTA
DUŢĂ	CARMEN	JudecatoriaCONSTANTA
FĂTU	LUCIANA	JudecatoriaCONSTANTA
GÂRLICI	ELENA	JudecatoriaCONSTANTA
GHERASIM	DELIA	JudecatoriaCONSTANTA
GRĂDINARIU	MIHAELA CRISTINA	JudecatoriaCONSTANTA
GREJDEANU	AURELIA IRINA	JudecatoriaCONSTANTA
ILIE	CONSTANŢA	JudecatoriaCONSTANTA
JURUBIŢĂ	ALINA GABRIELA	JudecatoriaCONSTANTA
LEFTER	ALINA  - MARIANA	JudecatoriaCONSTANTA
LUNGU 	CRISTIAN	JudecatoriaCONSTANTA
LUPU	RALUCA ELENA	JudecatoriaCONSTANTA
MARIN	ALINA ELENA	JudecatoriaCONSTANTA
MESROBIAN	IULIANA LOREDANA	JudecatoriaCONSTANTA
MIHAI	VALENTIN	JudecatoriaCONSTANTA
MINAEV	IULIAN	JudecatoriaCONSTANTA
MIRCIOI 	MARILENA VICTORIA	JudecatoriaCONSTANTA
MOŢÎRLICHIE	LUMINIŢA SIMONA	JudecatoriaCONSTANTA
MUSTAŢĂ	GABRIEL	JudecatoriaCONSTANTA
NASTASIA	MARIUS CRISTIAN	JudecatoriaCONSTANTA
NEMETH	FRANCISC	JudecatoriaCONSTANTA
OSTACHE	IULIANA	JudecatoriaCONSTANTA
PECHEANU	LAURA IOANA	JudecatoriaCONSTANTA
PÎRLOGEA	ŞTEFANIA	JudecatoriaCONSTANTA
PREDUŢ	DORIN GEORGE	JudecatoriaCONSTANTA
RADU	CRISTINA	JudecatoriaCONSTANTA
RIZEA	MIHAELA MONICA	JudecatoriaCONSTANTA
SECURE	EMILIA	JudecatoriaCONSTANTA
SINCU – BADEA	ADRIANA – IOANA	JudecatoriaCONSTANTA
SOFICA	ANA MARIA	JudecatoriaCONSTANTA
SORESCU	OANA MIHAELA	JudecatoriaCONSTANTA
STANCIU	MIHAELA IONELA	JudecatoriaCONSTANTA
ŞTEFAN (NICOLAE)	CARMEN MĂDĂLINA	JudecatoriaCONSTANTA
TICEA	VALENTIN	JudecatoriaCONSTANTA
TIMOAŞCĂ	MARIA	JudecatoriaCONSTANTA
TRÎNTU	MĂDĂLINA	JudecatoriaCONSTANTA
TURCU	CONSTANTINA MONICA	JudecatoriaCONSTANTA
ULIANOV	ANGELICA	JudecatoriaCONSTANTA
VASILE	ADRIANA	JudecatoriaCONSTANTA
VĂDUVA	VICTOR	JudecatoriaCONSTANTA
ZAHARIA	MIRELA RAMONA	JudecatoriaCONSTANTA
DEHENEA	CONSTANTIN	JudecatoriaMEDGIDIA
ISUF	DANIELA GEORGETA	JudecatoriaMEDGIDIA
IVAN	DANIELA	JudecatoriaMEDGIDIA
MĂSTACAN	ERICH-EMILIAN	JudecatoriaMEDGIDIA
OLTEANU	ELENA	JudecatoriaMEDGIDIA
OVAC	IOAN OCTAVIAN	JudecatoriaMEDGIDIA
RIZA	LIVIA CONSTANŢA	JudecatoriaMEDGIDIA
SLATE	AIDA IOLANDA	JudecatoriaMEDGIDIA
STĂNESCU	ISABELA ALINA	JudecatoriaMEDGIDIA
STĂNILĂ	FĂNEL	JudecatoriaMEDGIDIA
TELESCU	DANIELA MIHAELA	JudecatoriaMEDGIDIA
UNGUREANU	VIRGIL MARIUS	JudecatoriaMEDGIDIA
VAMVU	ANGELICA VALI	JudecatoriaMEDGIDIA
BĂDESCU	CORNELIU MARIUS	JudecatoriaMANGALIA
BEREVOESCU	CARMEN CLAUDIA	JudecatoriaMANGALIA
DAVID	ANTON-CRISTIAN	JudecatoriaMANGALIA
DRENTEA	LENUŢA	JudecatoriaMANGALIA
ENE	ALIN VASILE	JudecatoriaMANGALIA
IANCU	STELIANA GABRIELA	JudecatoriaMANGALIA
JALBĂ	LUCIAN	JudecatoriaMANGALIA
LAZĂR	DANIELA LILIANA	JudecatoriaMANGALIA
TOADER	DORU - CATALIN	JudecatoriaMANGALIA
PELELUNGĂ	MARIANA	JudecatoriaHARSOVA
SZILAGYI	RALUCA MEDA	JudecatoriaHARSOVA
ANDRECENCU	VALERIA	TribunalulTULCEA
ANDREI	CARMEN DANIELA	TribunalulTULCEA
ANDREI	IORDAN	TribunalulTULCEA
BIBU	ELENA	TribunalulTULCEA
MOCANU	VASILICA	TribunalulTULCEA
NEACSU	ELENA	TribunalulTULCEA
NICHIFOR	DOINA	TribunalulTULCEA
NICOLA GHEORGHIU	DANIEL	TribunalulTULCEA
NICULACHE	LUMINIŢA	TribunalulTULCEA
PESCĂRUS	MARINELA	TribunalulTULCEA
PISICĂ	LUMINITA DIANA	TribunalulTULCEA
ROIBU	STEFANIA	TribunalulTULCEA
ŞURCULESCU	MĂDĂLINA LELIA	TribunalulTULCEA
VITOS	RAZVAN - ARCADIU	TribunalulTULCEA
ANUŢI	STELIAN	JudecatoriaTULCEA
CIOFU	VLAD	JudecatoriaTULCEA
GĂVAN	LILIANA MARIA	JudecatoriaTULCEA
GHEORGHE	SIMONA	JudecatoriaTULCEA
HANZU	IOAN	JudecatoriaTULCEA
IONIŢĂ	VERONICA	JudecatoriaTULCEA
MATEI	CATALIN - MARIAN	JudecatoriaTULCEA
NEACŞU	GABRIEL	JudecatoriaTULCEA
NEDELCU	NICOLAE	JudecatoriaTULCEA
STOIAN	IZABELA	JudecatoriaTULCEA
ŞURCULESCU	FLORIN	JudecatoriaTULCEA
ALEXE	AURICA	JudecatoriaBABADAG
CRASOVSCHI	ALINA	JudecatoriaBABADAG
STEFĂNESCU-LUNCA	ELENA IVONA	JudecatoriaBABADAG
ANDRESCU	ALINA	JudecatoriaMACIN
DOMNITEANU	ADRIAN	JudecatoriaMACIN
GIOL	MONICA FLORENTINA	JudecatoriaMACIN
ALBU	ADELA IULIANA	CurteadeApelCRAIOVA
BALACI	LIANA	CurteadeApelCRAIOVA
BĂDULESCU	ŞTEFANA	CurteadeApelCRAIOVA
BĂLTEANU	EMILIA	CurteadeApelCRAIOVA
BARBU	LAVINIA GABRIELA	CurteadeApelCRAIOVA
BELULESCU	PARASCHIVA	CurteadeApelCRAIOVA
BERCEANU	MANUELA CRISTINA	CurteadeApelCRAIOVA
BUNEA	LUCIAN	CurteadeApelCRAIOVA
BUNOIU	CARMEN TAMARA	CurteadeApelCRAIOVA
CADEA	STELIAN AURELIAN	CurteadeApelCRAIOVA
CALOTĂ-PONEA	ADINA- GEORGETA	CurteadeApelCRAIOVA
CARNELUTI	GABRIELA MARIANA	CurteadeApelCRAIOVA
CERCEL	ANAMARIA CRISTINA	CurteadeApelCRAIOVA
CHIMOIU	LAURA MARIANA	CurteadeApelCRAIOVA
CIOBANU	GEORGE	CurteadeApelCRAIOVA
CIOLOFAN	ALINA	CurteadeApelCRAIOVA
CIUREZU GHERGHE	MIRELA CARMEN	CurteadeApelCRAIOVA
COJOCARU	FLORENŢA CARMEN	CurteadeApelCRAIOVA
COMĂNESCU	GABRIEL DĂNUŢ	CurteadeApelCRAIOVA
CONDURAT	EMANOIL ROBERT	CurteadeApelCRAIOVA
COTORA	MIHAELA- ELISABETA	CurteadeApelCRAIOVA
COVEI	MARIN	CurteadeApelCRAIOVA
CRĂCIUNOIU	SIMONA CRISTINA	CurteadeApelCRAIOVA
DIACONESCU	FLORICA	CurteadeApelCRAIOVA
DRĂGUŢ	NELA	CurteadeApelCRAIOVA
DUMITRU	ONIŢA	CurteadeApelCRAIOVA
DUMITRU	ANDREEA MONA	CurteadeApelCRAIOVA
DUNĂ	LILIANA MĂDĂLINA	CurteadeApelCRAIOVA
ENĂŞOIU	IRINA	CurteadeApelCRAIOVA
EPURE	LIGIA	CurteadeApelCRAIOVA
FĂNUŢĂ	MARIA MAGDALENA	CurteadeApelCRAIOVA
FILIMON	DORU	CurteadeApelCRAIOVA
GHERGHINA	CLAUDIU ANGELO	CurteadeApelCRAIOVA
GHERGHINĂ	LOTUS MANUELA	CurteadeApelCRAIOVA
GHIŢĂ	OANA CATALINA	CurteadeApelCRAIOVA
GORGĂNEANU	CORNELIA NICOLETA	CurteadeApelCRAIOVA
ILIE	CARMEN	CurteadeApelCRAIOVA
ILIE	GHEORGHE AUREL	CurteadeApelCRAIOVA
IONESCU	GABRIELA	CurteadeApelCRAIOVA
IRIZA	CONSTANTIN	CurteadeApelCRAIOVA
LĂLOIANU	LUCIA MARIANA	CurteadeApelCRAIOVA
LĂUTARU	AURORA CLAUDIA LAVINIA	CurteadeApelCRAIOVA
LUNGU	MARIAN	CurteadeApelCRAIOVA
LUNGU	SANDA ELENA	CurteadeApelCRAIOVA
LUPEA	DOINA	CurteadeApelCRAIOVA
MARICA	ALEXANDRINA	CurteadeApelCRAIOVA
MATEUCĂ	RADU CRISTIAN	CurteadeApelCRAIOVA
MIREA	VALERICA	CurteadeApelCRAIOVA
MIREA	TATIANA	CurteadeApelCRAIOVA
MEREANU	CONSTANTIN	CurteadeApelCRAIOVA
MIHAI ZAMFIR	LUCIAN CĂTĂLIN	CurteadeApelCRAIOVA
MITRACHE	ANDREI COSMIN	CurteadeApelCRAIOVA
MITRACHE 	ROXANA	CurteadeApelCRAIOVA
MITRANCA	MIHAELA	CurteadeApelCRAIOVA
MITRU	AUGUSTINA CARMINA	CurteadeApelCRAIOVA
MOLEANU	ECATERINA	CurteadeApelCRAIOVA
MOŢ	SOFIA-MARIANA	CurteadeApelCRAIOVA
MOŢĂTĂIANU	IOANA	CurteadeApelCRAIOVA
MOTIRLICHIE	COSTINEL	CurteadeApelCRAIOVA
MUDAVA	MARIANA	CurteadeApelCRAIOVA
NICOLAU- ALEXANDROIU	MIHAELA LOREDANA	CurteadeApelCRAIOVA
OCHEA	NELA IULIANA	CurteadeApelCRAIOVA
PANDURU	MARIN	CurteadeApelCRAIOVA
PASCU	MARIANA	CurteadeApelCRAIOVA
PASCU	SORIN	CurteadeApelCRAIOVA
PAUN	PAULA	CurteadeApelCRAIOVA
PETRIA MITRAN	SORINA LUCIA	CurteadeApelCRAIOVA
PLUGĂRESCU	MARIUS EMANUEL	CurteadeApelCRAIOVA
POPESCU	CARMEN ELENA	CurteadeApelCRAIOVA
POPESCU	CONSTANTIN	CurteadeApelCRAIOVA
POPESCU 	SIMONA	CurteadeApelCRAIOVA
PREDA – POPESCU	MANUELA PAULA	CurteadeApelCRAIOVA
RADULESCU	TATIANA	CurteadeApelCRAIOVA
RĂDULESCU	ANGELA	CurteadeApelCRAIOVA
RĂESCU	MARIANA ALINA	CurteadeApelCRAIOVA
RAICEA	CRISTINA	CurteadeApelCRAIOVA
SALAN	COSTINELA	CurteadeApelCRAIOVA
SAMIL	AURORA IONELA	CurteadeApelCRAIOVA
ŞELEA	MIRCEA MUGUREL	CurteadeApelCRAIOVA
ŞELEA	SANDA CAMELIA	CurteadeApelCRAIOVA
SPÂNU	DAN  ŞTEFAN	CurteadeApelCRAIOVA
SPIRIDON	ANA MARIA DANA	CurteadeApelCRAIOVA
STAN	ELENA	CurteadeApelCRAIOVA
ŢĂNDĂREANU	NICOLETA	CurteadeApelCRAIOVA
ŢAPURIN	TANIA	CurteadeApelCRAIOVA
TOMESCU	MARIOARA CARMEN	CurteadeApelCRAIOVA
TRIFĂNESCU	VALENTINA	CurteadeApelCRAIOVA
ŢÂRLEA	MIRELA-CRISTINA	CurteadeApelCRAIOVA
VIJLOI 	DANIELA	CurteadeApelCRAIOVA
VÎLCULESCU	IONELA	CurteadeApelCRAIOVA
VIZIRU	GABRIEL	CurteadeApelCRAIOVA
ALEXANDRU	LILIANA	TribunalulDOLJ
ALEXANDROIU	GABRIELA	TribunalulDOLJ
ANGHELINA	OLTEA PAULA	TribunalulDOLJ
BARBU 	LUMINIŢA LARISA	TribunalulDOLJ
CAIMAC	MARIA ADRIANA	TribunalulDOLJ
CIONTU	ALINA GABRIELA	TribunalulDOLJ
COJOCARU BICHEA	CARMEN CAMELIA	TribunalulDOLJ
COLCEAG	CRISTINA IZABELA	TribunalulDOLJ
COLŢAN	LOREDANA CRISTIANA	TribunalulDOLJ
COMĂNESCU	CRISTINA MANUELA	TribunalulDOLJ
CROITORIU	CĂTĂLINA GENUA	TribunalulDOLJ
DIACONESCU	MARIUS   BOGDAN	TribunalulDOLJ
DIJMĂRESCU 	ION COSMIN	TribunalulDOLJ
DINCULESCU	RALUCA ELENA	TribunalulDOLJ
DINU	CLAUDIA	TribunalulDOLJ
DRAGOMIR 	LILIANA	TribunalulDOLJ
FILIMON	GABRIELA	TribunalulDOLJ
FIRU	MARGA	TribunalulDOLJ
FLOREA	ELVIS	TribunalulDOLJ
GASPAR	RODICA STELUŢA	TribunalulDOLJ
GAVRILA	MARIANA ELENA	TribunalulDOLJ
GEORCOTINĂ	MARIOARA	TribunalulDOLJ
GHERVASE	DENIS GABRIELA	TribunalulDOLJ
GHIŢĂ	ADINA ELVIRA	TribunalulDOLJ
GRECESCU	CRISTIAN MARIUS	TribunalulDOLJ
GRECU	DORIN LUCIAN	TribunalulDOLJ
GRIGORAŞCU	SIMONA DANIELA	TribunalulDOLJ
HARTMANN	MARIA ROXANA	TribunalulDOLJ
HARTMANN	TIBERIU IOAN	TribunalulDOLJ
ILEANA – NIŢĂ	VALI ŞTEANIA	TribunalulDOLJ
ILIE	MELANIA	TribunalulDOLJ
ILIESCU	CARMEN ELENA	TribunalulDOLJ
IVĂNUŞ	MONICA DANIELA	TribunalulDOLJ
MACAMETE	ELENA CAMELIA	TribunalulDOLJ
MARINESCU	SIMONA-LUCIA	TribunalulDOLJ
MARINESCU	ALINA MIHAELA	TribunalulDOLJ
MARINESCU	ALINA MARIANA	TribunalulDOLJ
MARUSCIAC	LELIA	TribunalulDOLJ
MELEACĂ	ELENA MIRTHA	TribunalulDOLJ
MISCHIANU	ALINA - GABRIELA	TribunalulDOLJ
NEDELCU	MANUELA	TribunalulDOLJ
NEGOIŢĂ	MIRELA ELENA	TribunalulDOLJ
NICOLA	MARIA	TribunalulDOLJ
NICU	MIRCEA	TribunalulDOLJ
OPREA	MARIN	TribunalulDOLJ
OSICEANU	IONICA	TribunalulDOLJ
OTOVESCU	DANIEL	TribunalulDOLJ
PĂTRU	ALINA	TribunalulDOLJ
PETCU	GABRIELA	TribunalulDOLJ
POPA	VIORICA	TribunalulDOLJ
POPESCU	IONELA GABRIELA	TribunalulDOLJ
PREOTEASA	CARMEN DANIELA	TribunalulDOLJ
ROTARU	CARMEN	TribunalulDOLJ
SANDU	ECATERINA	TribunalulDOLJ
SCUMPIERIU	ALINA-MARIANA	TribunalulDOLJ
SCURTU 	JANA	TribunalulDOLJ
SIMION	GABRIELA	TribunalulDOLJ
SPIRIDON	DOINA LILIANA	TribunalulDOLJ
STANCU	DANIEL FĂNEL	TribunalulDOLJ
STĂNILĂ - DAN	VERGINICA	TribunalulDOLJ
STOICULESCU	NATALIA	TribunalulDOLJ
TIUGAN	VERONICA	TribunalulDOLJ
TUDOR OLTEANU	CRISTINA	TribunalulDOLJ
ŢĂRUŞ	ALINA MANUEMA	TribunalulDOLJ
UDREA	LUMINITA LAURA	TribunalulDOLJ
UNCHEAŞU	CECILIA	TribunalulDOLJ
VĂRZARU	EUGENIA	TribunalulDOLJ
VASILE	VALENTINA	TribunalulDOLJ
VASILESCU	GABRIELA - AURELIA	TribunalulDOLJ
VIŞAN	ILIE SILVIU	TribunalulDOLJ
VÂRTOPEANU	MARIANA CRISTINA	TribunalulDOLJ
ZGLIMBEA	LIANA RAMONA	TribunalulDOLJ
ANCUŢA	GEORGETA RALUCA	JudecatoriaCRAIOVA
BĂRBUŢI	ADELA ILEANA	JudecatoriaCRAIOVA
BĂRBULEŢ	LUIZA - DIANA	JudecatoriaCRAIOVA
BÎRDĂU	GHEORGHE	JudecatoriaCRAIOVA
BIRĂU	CRISTINA GABRIELA	JudecatoriaCRAIOVA
BIVOLARU	MARILENA SIMONA	JudecatoriaCRAIOVA
BONTEA	RALUCA OANA	JudecatoriaCRAIOVA
BRAN	CĂTĂLINA MARIA	JudecatoriaCRAIOVA
BUSUIOC	SIMONA	JudecatoriaCRAIOVA
CAIAN	CORNEL GABRIEL	JudecatoriaCRAIOVA
CANACHE	LILIEA	JudecatoriaCRAIOVA
CARAMALIU	CAMELIA	JudecatoriaCRAIOVA
CIORA	GABRIELA CRISTINA	JudecatoriaCRAIOVA
CIUCĂ	TATIANA GEORGETA	JudecatoriaCRAIOVA
CÎRLOGEA	ANGELICA	JudecatoriaCRAIOVA
CRĂCIUN	ANDREEA	JudecatoriaCRAIOVA
CRÎNGUŞ	ROMULUS DAN	JudecatoriaCRAIOVA
DANA	CORINA	JudecatoriaCRAIOVA
DINU	GIGI	JudecatoriaCRAIOVA
DOBRIN	RODICA MIHAELA	JudecatoriaCRAIOVA
DRĂGOI	CORINA FLORENTINA	JudecatoriaCRAIOVA
DUDU	FLORICA	JudecatoriaCRAIOVA
FIRAN 	VERONICA VIOLETA	JudecatoriaCRAIOVA
FLORESCU	VIOLETA	JudecatoriaCRAIOVA
GHEALDIR	ANISOARA	JudecatoriaCRAIOVA
GRECU	FLORIN MARIUS	JudecatoriaCRAIOVA
GUŢESCU	NICOLETA VIORICA	JudecatoriaCRAIOVA
IANOŞI 	MIRELA	JudecatoriaCRAIOVA
LILEA	VALENTIN - CRISTIAN	JudecatoriaCRAIOVA
MARIN	MIHAI	JudecatoriaCRAIOVA
MARINAŞ	SORINA IOLANDA	JudecatoriaCRAIOVA
MĂRIUŢĂ	CLAUDIA CARMEN	JudecatoriaCRAIOVA
MECLENEANU	MARIANA DANIELA	JudecatoriaCRAIOVA
MINCĂ	MARCELA	JudecatoriaCRAIOVA
MOŢA	SIMONA - CRISTINA	JudecatoriaCRAIOVA
MUNCIOIU	CRISTINA	JudecatoriaCRAIOVA
NEDELCEA	LAURA	JudecatoriaCRAIOVA
PĂTRA	COSMIN-CLAUDIU	JudecatoriaCRAIOVA
POPA	CRISTIAN- DANIEL	JudecatoriaCRAIOVA
PUTERE	LEONTINA	JudecatoriaCRAIOVA
RADU	CLAUDIA MIRELA	JudecatoriaCRAIOVA
ŞERBAN	RĂSVAN GABRIEL	JudecatoriaCRAIOVA
SORBALĂ	RUSLANA	JudecatoriaCRAIOVA
SPIRIDONESCU 	IOANA - NICOLETA	JudecatoriaCRAIOVA
STROE	DOMNICA	JudecatoriaCRAIOVA
TĂLPĂŞANU	LAVINIA	JudecatoriaCRAIOVA
TROACĂ	RODICA MIHAELA	JudecatoriaCRAIOVA
UNCHEAŞU	DUMITRU	JudecatoriaCRAIOVA
UNCHEŞELU	MARCELA ALINA	JudecatoriaCRAIOVA
VELICOVICI	ALIS-MARIA	JudecatoriaCRAIOVA
VÎRLAN	VALERIA	JudecatoriaCRAIOVA
VOINEA	MIRELA	JudecatoriaCRAIOVA
ZGLIMBEA	ANA - ISABELA	JudecatoriaCRAIOVA
ZORILĂ	ELENA	JudecatoriaCRAIOVA
BELU	FLOAREA	JudecatoriaBAILESTI
CAIMAC	PETRIŞOR	JudecatoriaBAILESTI
GIOROCEANU	ALINA MIHAELA	JudecatoriaBAILESTI
GREGORIAN	ALEXANDRA	JudecatoriaBAILESTI
PÎRVU	MIRCEA	JudecatoriaBAILESTI
POENARU	VALENTINA	JudecatoriaBAILESTI
ŞERBAN	MARIAN	JudecatoriaBAILESTI
